"","Age","Vulnerable","Lives_In_Hotspot","Political_association","News_Source","Trust_News","Covid_Knowledge","Trust_Conservatives","Trust_Ford","Mask","Bubble","Follow_Store_Restrictions","Non_essential_outing","Travel_Canada","Travel_World"
"1","25-34","Yes","Yes","Green","SM","Internet",4,"Yes","Yes","Always","No","Rarely","4-5","No","No"
"2","25-34","No","No","Liberals","Internet","Other",4,"No","No","Always","Yes","Sometimes","1-3","No","No"
"3","25-34","Yes","Yes","Liberals","Other","Family",1,"No","No","Always","Yes","Most of the Time","1-3","No","No"
"4","25-34","Yes","Yes","Conservative","News_Print","News_Print",2,"Yes","No","Most of the Time","No","Most of the Time","1-3","Yes","No"
"5","18-24","No","No","Liberals","News_Print","Family",3,"Yes","Yes","Sometimes","Yes","Most of the Time","1-3","No","No"
"6","55-64","No","No","Conservative","News_Print","SM",4,"Yes","Yes","Never","Yes","Always","7+","No","No"
"7","35-44","No","No","Conservative","News_TV","Family",4,"Maybe","Maybe","Always","Yes","Always","0","No","No"
"8","35-44","No","No","Green","News_Print","Internet",3,"Yes","Yes","Always","Yes","Rarely","1-3","Yes","No"
"9","55-64","Yes","Yes","Liberals","Family","Internet",3,"Yes","No","Sometimes","Yes","Rarely","4-5","No","No"
"10","35-44","Yes","No","NDP","News_TV","News_Print",1,"Yes","Yes","Sometimes","No","Always","1-3","Yes","No"
"11","65-74","No","No","Conservative","Internet","News_Print",0,"Maybe","No","Never","Yes","Sometimes","4-5","No","No"
"12","35-44","No","Yes","Liberals","Family","News_Print",4,"Yes","No","Always","Yes","Always","1-3","Yes","No"
"13","45-54","Yes","Yes","Liberals","Family","News_Print",2,"Yes","Yes","Always","Yes","Sometimes","1-3","Yes","No"
"14","25-34","No","Yes","Liberals","News_TV","News_Print",3,"No","No","Rarely","No","Always","4-5","No","No"
"15","55-64","No","No","Liberals","SM","News_TV",3,"Yes","Yes","Most of the Time","Yes","Most of the Time","0","No","No"
"16","65-74","No","No","Liberals","News_Print","Family",3,"Yes","No","Sometimes","Yes","Always","0","No","No"
"17","45-54","No","No","Liberals","Internet","News_Print",5,"No","Yes","Sometimes","Yes","Sometimes","4-5","No","No"
"18","18-24","No","No","Liberals","SM","News_TV",2,"No","Maybe","Always","No","Always","1-3","No","No"
"19","35-44","No","No","Green","SM","Internet",3,"No","Yes","Most of the Time","Yes","Sometimes","1-3","No","No"
"20","65-74","No","No","Conservative","Other","Internet",2,"Yes","Yes","Most of the Time","Yes","Most of the Time","1-3","No","No"
"21","25-34","Yes","No","Conservative","Internet","Family",3,"Yes","Yes","Always","Yes","Never","4-5","No","No"
"22","74+","Yes","Yes","Conservative","SM","News_TV",2,"No","Yes","Most of the Time","Yes","Always","0","No","No"
"23","55-64","No","No","Conservative","Internet","Family",3,"Yes","Maybe","Sometimes","Yes","Always","4-5","No","No"
"24","18-24","Yes","No","None or Other","Internet","News_TV",3,"Yes","Yes","Rarely","Yes","Most of the Time","4-5","No","No"
"25","18-24","No","No","Liberals","Family","News_TV",3,"No","Yes","Always","Yes","Sometimes","1-3","Yes","No"
"26","18-24","No","No","NDP","Other","Internet",3,"No","Yes","Most of the Time","No","Never","4-5","Yes","No"
"27","45-54","No","No","Conservative","SM","Internet",4,"No","Maybe","Sometimes","Yes","Sometimes","1-3","No","No"
"28","45-54","Yes","Yes","Conservative","News_TV","Family",0,"Yes","Yes","Always","No","Most of the Time","1-3","No","No"
"29","45-54","No","No","Liberals","News_TV","Internet",2,"No","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"30","45-54","Yes","Yes","NDP","News_TV","News_Print",0,"Yes","No","Always","Yes","Always","0","No","No"
"31","55-64","Yes","Yes","Liberals","Family","Other",1,"No","No","Always","No","Always","4-5","No","Yes"
"32","55-64","Yes","No","Conservative","SM","News_TV",0,"Yes","Yes","Always","Yes","Most of the Time","1-3","Yes","No"
"33","18-24","Yes","No","Liberals","Internet","News_Print",3,"Maybe","No","Most of the Time","Yes","Sometimes","4-5","No","No"
"34","55-64","No","Yes","Conservative","Other","News_TV",1,"No","No","Sometimes","Yes","Rarely","7+","No","No"
"35","65-74","No","Yes","NDP","Internet","News_TV",2,"Yes","Yes","Sometimes","Yes","Sometimes","1-3","No","No"
"36","74+","No","No","NDP","News_TV","Internet",1,"No","No","Rarely","No","Most of the Time","7+","No","No"
"37","45-54","No","Yes","NDP","News_TV","Family",1,"Maybe","No","Most of the Time","Yes","Always","4-5","No","No"
"38","45-54","No","No","Conservative","Internet","Internet",4,"No","No","Sometimes","Yes","Sometimes","1-3","Yes","Yes"
"39","45-54","Yes","No","Liberals","Internet","News_TV",1,"No","No","Always","Yes","Always","4-5","Yes","No"
"40","45-54","No","No","Liberals","News_Print","Other",1,"Maybe","No","Always","Yes","Always","4-5","No","No"
"41","45-54","No","No","Conservative","Internet","SM",4,"Yes","Maybe","Rarely","Yes","Most of the Time","1-3","No","No"
"42","45-54","No","Yes","Liberals","Family","News_TV",3,"Yes","Yes","Rarely","No","Sometimes","4-5","No","No"
"43","55-64","No","No","Conservative","Internet","News_Print",2,"Yes","Yes","Always","Yes","Always","1-3","No","No"
"44","25-34","No","No","Conservative","News_TV","News_TV",2,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"45","45-54","No","No","Liberals","Family","News_TV",1,"Yes","Yes","Most of the Time","Yes","Rarely","4-5","Yes","Yes"
"46","45-54","Yes","No","Liberals","Other","Internet",2,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","Yes","No"
"47","25-34","No","No","Liberals","SM","Internet",0,"Maybe","Maybe","Most of the Time","Yes","Rarely","7+","No","No"
"48","45-54","No","No","Liberals","Internet","Family",5,"Yes","No","Most of the Time","No","Rarely","4-5","No","Yes"
"49","35-44","No","Yes","Liberals","SM","News_Print",2,"No","No","Always","Yes","Most of the Time","0","Yes","No"
"50","74+","Yes","Yes","Conservative","SM","Internet",0,"Yes","Yes","Never","Yes","Rarely","4-5","Yes","No"
"51","35-44","No","Yes","Conservative","SM","Internet",3,"Yes","Yes","Most of the Time","Yes","Always","4-5","No","No"
"52","45-54","Yes","Yes","Conservative","Internet","Family",4,"No","No","Sometimes","No","Sometimes","4-5","No","No"
"53","55-64","No","No","Liberals","Internet","Internet",3,"Yes","Yes","Always","No","Rarely","1-3","No","No"
"54","18-24","No","No","Conservative","News_TV","News_Print",5,"Yes","No","Always","No","Most of the Time","4-5","Yes","No"
"55","45-54","No","Yes","Conservative","Family","Family",3,"Yes","Yes","Never","No","Sometimes","1-3","No","No"
"56","25-34","No","No","Liberals","News_Print","SM",1,"Yes","Maybe","Always","Yes","Always","1-3","Yes","No"
"57","65-74","No","No","None or Other","Internet","Family",2,"No","No","Rarely","No","Always","4-5","No","No"
"58","55-64","Yes","No","NDP","News_TV","News_Print",3,"Maybe","No","Always","No","Rarely","0","No","No"
"59","74+","No","Yes","Liberals","News_TV","Internet",3,"No","Yes","Most of the Time","No","Always","7+","No","No"
"60","35-44","Yes","Yes","NDP","News_TV","News_Print",4,"Yes","Yes","Most of the Time","Yes","Most of the Time","4-5","No","No"
"61","65-74","No","No","Liberals","SM","News_TV",1,"No","No","Rarely","Yes","Never","0","No","No"
"62","18-24","No","No","Conservative","Internet","News_Print",4,"Yes","Yes","Sometimes","Yes","Rarely","4-5","No","Yes"
"63","55-64","Yes","Yes","NDP","News_Print","Family",2,"Yes","No","Sometimes","No","Rarely","4-5","Yes","No"
"64","45-54","No","No","NDP","Other","Internet",1,"Yes","No","Always","No","Always","0","No","No"
"65","25-34","No","Yes","Conservative","Other","News_Print",4,"Yes","Yes","Sometimes","No","Most of the Time","4-5","Yes","No"
"66","35-44","No","No","Conservative","Other","News_Print",0,"Yes","No","Most of the Time","Yes","Most of the Time","7+","No","No"
"67","18-24","No","No","Green","Family","News_TV",2,"No","Yes","Never","Yes","Always","4-5","No","No"
"68","45-54","No","No","Liberals","Internet","Internet",1,"No","Maybe","Most of the Time","No","Always","4-5","No","No"
"69","25-34","Yes","Yes","Conservative","Family","News_TV",2,"No","Yes","Most of the Time","Yes","Sometimes","4-5","Yes","No"
"70","35-44","No","No","Conservative","Other","News_Print",4,"Yes","Yes","Always","Yes","Always","0","Yes","No"
"71","35-44","Yes","Yes","Liberals","News_Print","News_Print",0,"Yes","Yes","Most of the Time","No","Sometimes","7+","Yes","No"
"72","25-34","No","Yes","NDP","SM","News_Print",2,"Yes","No","Always","Yes","Never","1-3","No","No"
"73","65-74","Yes","No","Liberals","Internet","Family",2,"No","No","Always","Yes","Rarely","4-5","Yes","No"
